 ; ;Živorojeni - SKUPAJ; ; ; ; ;Živorojeni, rojeni v zakonski zvezi; ; ; ; ;Živorojeni, rojeni zunaj zakonske zveze; ; ; ; 
 ; ;Vrstni red rojstva - SKUPAJ;Prvo rojstvo;Drugo;Tretje;Èetrto ali rojstvo višjega reda;Vrstni red rojstva - SKUPAJ;Prvo rojstvo;Drugo;Tretje;Èetrto ali rojstvo višjega reda;Vrstni red rojstva - SKUPAJ;Prvo rojstvo;Drugo;Tretje;Èetrto ali rojstvo višjega reda
 ;SLOVENIJA;19823;9654;7237;2229;703;9752;3514;4120;1600;518;10071;6140;3117;629;185
 ;Pomurska;997;502;362;97;36;408;132;194;61;21;589;370;168;36;15
 ;Podravska;2666;1355;981;255;75;887;295;402;140;50;1779;1060;579;115;25
 ;Koroška;682;307;282;79;14;211;55;103;47;6;471;252;179;32;8
 ;Savinjska;2548;1252;939;274;83;1030;334;449;189;58;1518;918;490;85;25
 ;Zasavska;449;235;164;39;11;208;84;90;28;6;241;151;74;11;5
 ;Spodnjeposavska;587;262;232;64;29;292;96;135;43;18;295;166;97;21;11
 ;Jugovzhodna Slovenija;1499;694;515;209;81;757;252;312;154;39;742;442;203;55;42
 ;Osrednjeslovenska;5570;2708;2030;650;182;3194;1236;1317;486;155;2376;1472;713;164;27
 ;Gorenjska;2156;1001;744;307;104;1177;413;438;237;89;979;588;306;70;15
 ;Notranjsko-kraška;507;224;192;65;26;320;109;138;52;21;187;115;54;13;5
 ;Goriška;1174;579;422;128;45;732;290;292;110;40;442;289;130;18;5
 ;Obalno-kraška;988;535;374;62;17;536;218;250;53;15;452;317;124;9;2
2008;;;;;;;;;;;;;;;;
 ;SLOVENIJA;21817;10800;7927;2346;744;10286;3739;4331;1661;555;11531;7061;3596;685;189
 ;Pomurska;1058;538;381;110;29;417;125;195;79;18;641;413;186;31;11
 ;Podravska;3057;1523;1153;276;105;1064;342;486;172;64;1993;1181;667;104;41
 ;Koroška;787;344;330;88;25;255;72;123;45;15;532;272;207;43;10
 ;Savinjska;2777;1332;1018;331;96;1021;313;433;208;67;1756;1019;585;123;29
 ;Zasavska;428;222;145;49;12;189;68;77;36;8;239;154;68;13;4
 ;Spodnjeposavska;691;333;253;79;26;309;109;132;54;14;382;224;121;25;12
 ;Jugovzhodna Slovenija;1584;745;562;197;80;847;291;360;142;54;737;454;202;55;26
 ;Osrednjeslovenska;6234;3171;2208;661;194;3377;1359;1350;501;167;2857;1812;858;160;27
 ;Gorenjska;2281;1099;814;277;91;1163;403;476;209;75;1118;696;338;68;16
 ;Notranjsko-kraška;561;269;209;61;22;328;133;130;48;17;233;136;79;13;5
 ;Goriška;1248;615;454;133;46;732;268;317;106;41;516;347;137;27;5
 ;Obalno-kraška;1111;609;400;84;18;584;256;252;61;15;527;353;148;23;3
2009;;;;;;;;;;;;;;;;
 ;SLOVENIJA;21856;10734;7960;2349;813;10089;3741;4138;1621;589;11767;6993;3822;728;224
 ;Pomurska;1115;594;371;112;38;390;132;169;67;22;725;462;202;45;16
 ;Podravska;3029;1570;1099;263;97;1007;385;412;148;62;2022;1185;687;115;35
 ;Koroška;792;370;299;93;30;229;61;107;46;15;563;309;192;47;15
 ;Savinjska;2747;1288;1051;323;85;990;318;418;199;55;1757;970;633;124;30
 ;Zasavska;464;259;160;36;9;185;84;73;19;9;279;175;87;17;0
 ;Spodnjeposavska;659;324;216;83;36;302;107;116;56;23;357;217;100;27;13
 ;Jugovzhodna Slovenija;1524;713;512;196;103;741;263;281;137;60;783;450;231;59;43
 ;Osrednjeslovenska;6226;3020;2296;684;226;3491;1344;1429;534;184;2735;1676;867;150;42
 ;Gorenjska;2326;1108;843;270;105;1171;423;463;196;89;1155;685;380;74;16
 ;Notranjsko-kraška;552;270;208;60;14;298;119;124;43;12;254;151;84;17;2
 ;Goriška;1301;629;479;141;52;739;276;305;110;48;562;353;174;31;4
 ;Obalno-kraška;1121;589;426;88;18;546;229;241;66;10;575;360;185;22;8
2010;;;;;;;;;;;;;;;;
 ;SLOVENIJA;22343;10992;8193;2301;857;9902;3604;4095;1587;616;12441;7388;4098;714;241
 ;Pomurska;1045;536;382;89;38;375;129;170;55;21;670;407;212;34;17
 ;Podravska;3122;1622;1103;274;123;1024;369;415;159;81;2098;1253;688;115;42
 ;Koroška;701;313;277;82;29;205;61;91;41;12;496;252;186;41;17
 ;Savinjska;2832;1398;1054;276;104;985;331;425;163;66;1847;1067;629;113;38
 ;Zasavska;414;208;155;35;16;159;66;62;20;11;255;142;93;15;5
 ;Spodnjeposavska;723;348;255;92;28;304;91;131;67;15;419;257;124;25;13
 ;Jugovzhodna Slovenija;1655;757;595;210;93;782;246;325;159;52;873;511;270;51;41
 ;Osrednjeslovenska;6413;3181;2325;671;236;3329;1303;1330;501;195;3084;1878;995;170;41
 ;Gorenjska;2422;1106;938;277;101;1157;396;482;197;82;1265;710;456;80;19
 ;Notranjsko-kraška;571;286;191;66;28;328;135;115;52;26;243;151;76;14;2
 ;Goriška;1303;610;505;140;48;742;273;315;109;45;561;337;190;31;3
 ;Obalno-kraška;1142;627;413;89;13;512;204;234;64;10;630;423;179;25;3
2011;;;;;;;;;;;;;;;;
 ;SLOVENIJA;21947;10637;8327;2210;773;9484;3476;3977;1492;539;12463;7161;4350;718;234
 ;Pomurska;1047;566;370;77;34;334;122;152;41;19;713;444;218;36;15
 ;Podravska;3011;1527;1104;277;103;919;322;378;158;61;2092;1205;726;119;42
 ;Koroška;713;370;244;70;29;190;61;72;37;20;523;309;172;33;9
 ;Savinjska;2768;1328;1071;274;95;948;317;410;161;60;1820;1011;661;113;35
 ;Zasavska;425;210;172;36;7;180;70;86;18;6;245;140;86;18;1
 ;Spodnjeposavska;722;348;271;69;34;289;111;119;45;14;433;237;152;24;20
 ;Jugovzhodna Slovenija;1641;711;630;207;93;795;245;346;149;55;846;466;284;58;38
 ;Osrednjeslovenska;6280;3039;2405;623;213;3274;1292;1342;467;173;3006;1747;1063;156;40
 ;Gorenjska;2312;1064;884;280;84;1045;363;418;196;68;1267;701;466;84;16
 ;Notranjsko-kraška;607;285;230;72;20;327;130;136;48;13;280;155;94;24;7
 ;Goriška;1325;611;517;151;46;698;243;294;121;40;627;368;223;30;6
 ;Obalno-kraška;1096;578;429;74;15;485;200;224;51;10;611;378;205;23;5
2012;;;;;;;;;;;;;;;;
 ;SLOVENIJA;21938;10524;8466;2253;695;9305;3341;4044;1446;474;12633;7183;4422;807;221
 ;Pomurska;1047;509;414;94;30;336;108;153;56;19;711;401;261;38;11
 ;Podravska;3025;1556;1114;258;97;947;321;440;125;61;2078;1235;674;133;36
 ;Koroška;726;349;287;76;14;189;60;87;34;8;537;289;200;42;6
 ;Savinjska;2768;1322;1084;278;84;945;323;415;156;51;1823;999;669;122;33
 ;Zasavska;406;193;171;29;13;173;58;88;20;7;233;135;83;9;6
 ;Spodnjeposavska;722;354;265;84;19;265;103;106;48;8;457;251;159;36;11
 ;Jugovzhodna Slovenija;1632;739;641;168;84;700;231;317;105;47;932;508;324;63;37
 ;Osrednjeslovenska;6322;3010;2469;643;200;3215;1228;1383;453;151;3107;1782;1086;190;49
 ;Gorenjska;2276;1051;865;284;76;1034;352;427;196;59;1242;699;438;88;17
 ;Notranjsko-kraška;570;247;223;82;18;302;106;125;57;14;268;141;98;25;4
 ;Goriška;1296;605;489;164;38;687;240;287;130;30;609;365;202;34;8
 ;Obalno-kraška;1148;589;444;93;22;512;211;216;66;19;636;378;228;27;3
2013;;;;;;;;;;;;;;;;
 ;SLOVENIJA;21111;10469;7917;2060;665;8874;3384;3737;1299;454;12237;7085;4180;761;211
 ;Pomurska;1026;528;365;102;31;319;120;132;51;16;707;408;233;51;15
 ;Podravska;2924;1554;1061;231;78;869;335;374;112;48;2055;1219;687;119;30
 ;Koroška;678;364;225;70;19;164;62;66;29;7;514;302;159;41;12
 ;Savinjska;2665;1322;1002;251;90;969;358;405;147;59;1696;964;597;104;31
 ;Zasavska;409;229;140;28;12;147;64;62;15;6;262;165;78;13;6
 ;Spodnjeposavska;709;365;262;59;23;276;107;118;37;14;433;258;144;22;9
 ;Jugovzhodna Slovenija;1568;772;554;167;75;650;238;269;106;37;918;534;285;61;38
 ;Osrednjeslovenska;6004;2937;2287;611;169;3000;1201;1230;433;136;3004;1736;1057;178;33
 ;Gorenjska;2256;1049;874;250;83;1043;368;441;167;67;1213;681;433;83;16
 ;Notranjsko-kraška;584;259;243;66;16;314;102;151;49;12;270;157;92;17;4
 ;Goriška;1251;574;476;144;57;648;220;277;104;47;603;354;199;40;10
 ;Obalno-kraška;1037;516;428;81;12;475;209;212;49;5;562;307;216;32;7
